DOI,Title
10.22456/2175-2745.143357,Transfer Learning and Handcrafted Features Ensembles for Ultrasound Breast Cancer Image Classification
10.22456/2175-2745.143392,A New Approach for Soil Carbon and Nitrogen Assessment through Image Analysis: A Case Study with Oxisols and Inceptisols
10.22456/2175-2745.143437,A Mini-map Alignment Approach using Landmark Observation Information Intrinsic to the Feature-based Visual SLAM Pipeline
10.22456/2175-2745.143443,Case Study of Deep Learning Methods for Depth Estimation in Indoor Ground Robotics
10.22456/2175-2745.143458,Rust Detection in Coffee Leaves Using Otsu's Method and Mathematical Morphology
10.22456/2175-2745.143463,Identifying Malignant Skin Diseases Through Deep Learning
10.22456/2175-2745.143478,Medical Image Classification with Privacy: Centralized and Federated Learning Comparison
10.22456/2175-2745.143480,Federated Learning in Breast Cancer Diagnosis
10.22456/2175-2745.143486,Digital Fencing for Farms: Enhancing Object Detection through Multi-Dataset Integration
10.22456/2175-2745.143487,Automatic Identification of Relevant Moments in Security Force Videos Using Multimodal Analysis
10.22456/2175-2745.143490,Evaluating Deep Learning Models for Effective Weed Classification in Agricultural Images
10.22456/2175-2745.143494,Aedes aegypti Egg Counting with Neural Networks for Object Detection
10.22456/2175-2745.143495,Castor Beans Identification in Sugarcane Plantations Using Active Learning
10.22456/2175-2745.143502,Analyzing Bee Behavior Through Video Tracking Using Computer Vision Techniques
10.22456/2175-2745.143508,Data Augmentation and Convolutional Network Architecture Influence on Distributed Learning
10.22456/2175-2745.143513,Portal to Other Dimensions: use of Computer Vision to create art work from day life images
10.22456/2175-2745.143514,Construction of Rolled Digital for Newborns Using Image Registration
10.22456/2175-2745.143516,Deep Learning-Based Segmentation of Nanomaterial Images Acquired via Scanning Electron Microscopy
10.22456/2175-2745.143520,Classification of Agricultural Pests Through Digital Images Using Deep Learning
10.22456/2175-2745.143521,Exploiting Data Augmentation Strategies to Improve the Classification of Spinal Disorders in X-Ray Images
10.22456/2175-2745.143522,Automatic Detection and Counting of Tuta Absoluta Insect in Trap Images
10.22456/2175-2745.143523,Fusion of Satellite and Drone Images for Identifying Water Bodies
10.22456/2175-2745.143526,Artificial Intelligence for Gas Leak Detection with Thermal Cameras and Metal Oxide Semiconductor Sensors
10.22456/2175-2745.143528,Big Data in Healthcare: Possibilities and Challenges - A Systematic Literature Review
10.22456/2175-2745.143530,How Misleading Can The Analysis of Human Eye Movements Be? Experiments on Dominante Eye and Cognitive Visual Perception
10.22456/2175-2745.143534,Sheep Behavioral Analysis with Optical Flow
10.22456/2175-2745.143537,Leveraging Optimal Methods for Diverse Skin Types Classification in Images for Reduced Bias
10.22456/2175-2745.143539,Renal Cancer Classification in Tomographic Images Using Convolutional Neural Networks to Assist Early Diagnosis
10.22456/2175-2745.143541,Bulldogs Nose Detection using Deep Learning
10.22456/2175-2745.143544,A Novel Brazilian Dataset for Automatic Detection of Psyllid Attacksin Guava
10.22456/2175-2745.143545,Preprocessing and Optimizer impact on Image-Based Autoimmune Disease Diagnosis
10.22456/2175-2745.143546,Segmentation of Skin Lesions and their Attributes in Dermatoscopic Images Based on Convolutional Neural Networks
10.22456/2175-2745.143548,Classification of Cells Infected by Malaria with Vision Transformers Models
10.22456/2175-2745.143633,Safer Stack: Safe Dump of Off-Highways Trucks in Slope Crest Windrows
10.22456/2175-2745.143684,YOLO and CNN for Cat Detection and Recognition
10.22456/2175-2745.143785,Application of Denoising Diffusion Probabilistic Methods in Fetal MRI
10.22456/2175-2745.143959,Notification Oriented Paradigm based on Internet Protocol (NOP-IP) to Distributed Computing
10.22456/2175-2745.144479,Do Deep Learning Models Generalize Facial Emotion Recognition in Different Age Groups?
10.22456/2175-2745.145569,Exploring Topic Modeling in Short Texts from Social Media: A Comparative Analysis of Algorithms
10.22456/2175-2745.145580,Transformers or Not: A Comparative Study on Defect Inspection in Printed Circuit Boards
10.22456/2175-2745.145795,NOPL - Improvements in the Language and its Compiler for the Notification Oriented Paradigm
10.22456/2175-2745.145838,Hybrid Convolutional Neural Network on Fault Detection in Electroluminescence Images of Photovoltaic Cells
10.22456/2175-2745.146658,An Ontology of Tobacco Production: Enriching Large Language Model-based Decision Support
10.22456/2175-2745.146689,Hybrid Machine Learning Model for Cache Performance Prediction and Design Space Exploration
10.22456/2175-2745.146905,Machine Learning and Explainable Artificial Intelligence in Carbon Nanotubes Predictions
10.22456/2175-2745.146990,Cognitive Modeling and its Applications in Industry: : A Systematized Literature Review
10.22456/2175-2745.147347,Synergizing CNNs and ViTs: A Survey on Hybrid Models for Benchmark Image Classification
10.22456/2175-2745.147966,Evaluating Contactless Fingerprint Segmentation for Interoperable Biometric Identification Systems
10.22456/2175-2745.149849,Analyzing Code Commits Addressing Vulnerabilities in the Android Project
10.22456/2175-2745.150105,A Systematic Literature Review of Autonomous Line-Following Robots using Reinforcement Learning
10.22456/2175-2745.150232,Improving the Resilience of Smart City Systems During Network Outage
10.22456/2175-2745.150620,Combining Complex Networks and Multi-level Local Binary Patterns for Texture Analysis
10.22456/2175-2745.150621,PSO-based Client Selection to Improve Medical Image Classification in Federated Learning
10.22456/2175-2745.150622,Ensemble of Handcrafted and Learned Features using a Lightweight CNN for Colorectal Cancer Classification
10.22456/2175-2745.150636,Federated Learning on Non-IID Environmental Images for Enhanced Wildfire Surveillance
10.22456/2175-2745.150723,Graph-Based Nearest Centroid for Image Classification
10.22456/2175-2745.150751,Efficient Pothole Segmentation Using Quantization and Pruning for ADAS
10.22456/2175-2745.150755,Cross-Validation Deep Learning for Breast Cancer Detection Using DMR-IR Infrared Images
10.22456/2175-2745.150810,Classifying Synthetic Facial Images: : A Quantitative and Qualitative Approach with AI
10.22456/2175-2745.150824,Impact of Wavelet Pre-processing on Deep Learning Architectures for Renal Cancer Diagnosis
10.22456/2175-2745.150833,Automated Analysis of Packaging Seal Failures Using Computer Vision Techniques
10.22456/2175-2745.150894,SARS-CoV-2 Detection in Genosensor Images via Deep Learning and Data Augmentation
10.22456/2175-2745.150896,Assessing Deep Hybrid Representations for Colorectal Polyp Classification in Histopathology Images
10.22456/2175-2745.150897,Enhanced Engine Vibration by Computer Vision Methods for Predictive Maintenance
10.22456/2175-2745.150900,Generalization in Deepfake Detection: : A Comparative Analysis of Frequency-Domain and CNN Approaches
10.22456/2175-2745.150902,Automated Segmentation of the Spinal Column in MRI Volumes Using Deep Learning
10.22456/2175-2745.150903,KLT Revisited: Spatio-Temporal Affine Regression for Feature Tracking
